TAG,FR,EN,DE,IT,ES,TR
"Other winter cereal of genus Hordeum","Autre cereale d'hiver de genre Hordeum","Other winter cereal of genus Hordeum","Anderes Wintergetreide der Gattung Hordeum","Altri cereali invernali del genere Hordeum","Otro cereal de invierno del género Hordeum","Sarımsak"
"Chives","Ciboulette","Chives","Schnittlauch","Erba cipollina","Cebollino","Tarhun"
"Tarragon","Estragon","Tarragon","Estragon","Dragoncello","Estragón","Panicum cinsinin diğer tahılları"
"Other cereal genus Panicum","Autre cereale de genre Panicum","Other cereal genus Panicum","Anderes Getreide der Gattung Panicum","Altro cereale del genere Panicum","Otro cereal del género Panicum","Diğer ilkbahar yemi acı baklası"
"Other spring forage lupin","Autre lupin fourrager de printemps","Other spring forage lupin","Andere Frühjahrsfutterlupine","Altri lupini da foraggio primaverili","Otro lupino forrajero de primavera","Diğer kışlık yem acı baklaları"
"Other winter forage lupins","Autre lupin fourrager d'hiver","Other winter forage lupins","Andere Winterfutterlupinen","Altri lupini da foraggio invernali","Otros lupinos forrajeros de invierno","5 yaşına kadar yapraklar"
"Foliage up to 5 years old","Fleole de 5 ans ou moins","Foliage up to 5 years old","Laub bis zu 5 Jahre alt","Fogliame fino a 5 anni","Follaje de hasta 5 años","Roket"
"Rocket","Roquette","Rocket","Rucola","Rucola","Rúcula","Kara ada"
"Black fallow","Jachere noire","Black fallow","Schwarzbrache","Maggese nero","Barbecho negro","Diğer Avena ilkbahar tahılları"
"Other Avena spring cereals","Autre cereale de printemps de genre Avena","Other Avena spring cereals","Anderes Avena-Frühjahrsgetreide","Altri cereali primaverili Avena","Otros cereales de primavera del género Avena","İşleme için Peche Pavie"
"Peche Pavie for processing","Peche Pavie pour transformation","Peche Pavie for processing","Peche Pavie zur Verarbeitung","Peche Pavie per la trasformazione","Peche Pavie para procesamiento","Angelique"
"Angelique","Angelique","Angelique","Angelique","Angelique","Angélica","Diğer Avena kışlık tahılları"
"Other Avena winter cereals","Autre cereale d'hiver de genre Avena","Other Avena winter cereals","Anderes Avena-Wintergetreide","Altri cereali invernali Avena","Otros cereales de invierno del género Avena","Mercanköşk / Kekik"
"Marjoram / Oregano","Marjolaine / Origan","Marjoram / Oregano","Majoran / Oregano","Maggiorana / Origano","Mejorana / Orégano","Diğer melilot"
"Other melilot","Autre melilot","Other melilot","Sonstiger Steinklee","Altro meliloto","Otro meliloto","Provence'tan siyah psyllium"
"Black psyllium from Provence","Psyllium noir de Provence","Black psyllium from Provence","Schwarzer Flohsamen aus der Provence","Psillio nero di Provenza","Psilio negro de Provenza","Biberiye"
"Rosemary","Romarin","Rosemary","Rosmarin","Rosmarino","Romero","Küçük fiğ"
"Chickling vetch","Gesse","Chickling vetch","Platterbse","Cicerchia","Almorta","Diğer Triticum ilkbahar tahılları"
"Other Triticum spring cereals","Autre cereale de printemps de genre Triticum","Other Triticum spring cereals","Andere Triticum-Frühjahrsgetreide","Altri cereali primaverili Triticum","Otros cereales de primavera del género Triticum","Karşılıklı ekim: Her biri %25'ten fazlasını temsil eden 3 ürün"
"Intercropping: 3 crops representing more than 25% each","Cultures conduites en interrange : 3 cultures representant chacune plus de 25%","Intercropping: 3 crops representing more than 25% each","Zwischenfruchtanbau: 3 Kulturen mit einem Anteil von jeweils mehr als 25%","Intercrocio: 3 colture che rappresentano più del 25% ciascuna","Intercultivo: 3 cultivos que representan más del 25% cada uno","Fesleğen"
"Basil","Basilic","Basil","Basilikum","Basilico","Albahaca","Fesleğen"
"Cucumber / Gherkin","Concombre / Cornichon","Cucumber / Gherkin","Salatgurke / Gurke","Cetriolo / Cetriolino","Pepino / Pepinillo","Salatalık / Kornişon"
"Mixed oilseeds","Melange d'oleagineux","Mixed oilseeds","Gemischte Ölsaaten","Semi oleosi misti","Oleaginosas mixtas","Karışık yağlı tohumlar"
"X-Felium up to 5 years old","X-Felium de 5 ans ou moins","X-Felium up to 5 years old","X-Felium bis zu 5 Jahre alt","X-Felium fino a 5 anni","X-Felium de hasta 5 años","5 yaşına kadar X-Felium"
"Minette","Minette","Minette","Minette","Minette","Minette","Minette"
"Pasteque","Pasteque","Pasteque","Pasteque","Pasteque","Sandía","Pasteque"
"Savory","Sarriette","Savory","Bohnenkraut","Santoreggia","Ajedrea","Lezzetli"
"Rutabaga","Rutabaga","Rutabaga","Steckrübe","Rutabaga","Nabo sueco","Rutabaga"
"Eggplant","Aubergine","Eggplant","Aubergine","Melanzane","Berenjena","Patlıcan"
"Other types of protein crops","Autre proteagineux d'un autre genre","Other types of protein crops","Andere Arten von Eiweißpflanzen","Altri tipi di colture proteiche","Otros tipos de cultivos proteicos","Diğer protein bitkileri türleri"
"Watercress","Cresson","Watercress","Brunnenkresse","Crescione","Berro","Tereotu"
"Other spring cereal of genus Hordeum","Autre cereale de printemps de genre Hordeum","Other spring cereal of genus Hordeum","Anderes Frühjahrsgetreide der Gattung Hordeum","Altri cereali primaverili del genere Hordeum","Otro cereal de primavera del género Hordeum","Hordeum cinsinden diğer ilkbahar tahılları"
"Winter turnip","Navette d'hiver","Winter turnip","Winterrübe","Rape invernali","Nabo de invierno","Kış şalgamı"
"Other winter cereal of genus Secale","Autre cereale d'hiver de genre Secale","Other winter cereal of genus Secale","Anderes Wintergetreide der Gattung Secale","Altro cereale invernale del genere Secale","Otro cereal de invierno del género Secale","Secale cinsinden diğer kış tahılları"
"Summer turnip","Navette d'ete","Summer turnip","Sommerrübe","Rapa estiva","Nabo de verano","Yaz şalgamı"
"Peturin, up to 5 years old","Peturin commun de 5 ans ou moins","Peturin, up to 5 years old","Peturin, bis zu 5 Jahre alt","Peturina, fino a 5 anni","Peturin, de hasta 5 años","5 yaşına kadar Peturin"
"Other cereal genus Phalaris","Autre cereale de genre Phalaris","Other cereal genus Phalaris","Andere Getreidearten der Gattung Phalaris","Altro cereale del genere Phalaris","Otro cereal del género Phalaris","Phalaris cinsinden diğer tahıllar"
"Blueberry","Bleuet","Blueberry","Heidelbeere","Mirtillo","Arándano","Yaban mersini"
"Chervil","Cerfeuil","Chervil","Kerbel","Cerfoglio","Perifollo","Kızılcık"
"Other cereal genus Fagopyrum","Autre cereale de genre Fagopyrum","Other cereal genus Fagopyrum","Andere Getreidegattung Fagopyrum","Altro genere di cereali Fagopyrum","Otro cereal del género Fagopyrum","Fagopyrum cinsinden diğer tahıllar"
"Sorrel","Oseille","Sorrel","Sauerampfer","Acetosa","Acedera","Kuzukulağı"
"Other oilseed Helianthus","Autre oleagineux d'espece Helianthus","Other oilseed Helianthus","Andere Ölsaaten Helianthus","Altri semi oleosi Helianthus","Otra oleaginosa del género Helianthus","Helianthus cinsinden diğer yağlı tohumlar"
"Turnip","Navet fourrager","Turnip","Rübe","Rapa","Nabo","Şalgam"
"Other spring crops Brassica napus","Autre oleagineux de printemps d'espece Brassica napus","Other spring crops Brassica napus","Sonstige Frühjahrskulturen Brassica napus","Altre colture primaverili Brassica napus","Otros cultivos de primavera Brassica napus","Diğer ilkbahar bitkileri Brassica napus"
"Nettle","Ortie","Nettle","Brennnessel","Ortica","Ortiga","Isırgan otu"
"Borage up to 5 years old","Bourrache de 5 ans ou moins","Borage up to 5 years old","Borretsch bis zu 5 Jahre alt","Borragine fino a 5 anni","Borraja de hasta 5 años","5 yaşına kadar hodan"
"Dehydrated vetch","Vesce deshydratee","Dehydrated vetch","Getrocknete Wicke","Veccia disidratata","Veza deshidratada","Kurutulmuş fiğ"
"Other spring cereal of genus Zea","Autre cereale de printemps de genre Zea","Other spring cereal of genus Zea","Anderes Frühjahrsgetreide der Gattung Zea","Altri cereali primaverili del genere Zea","Otro cereal de primavera del género Zea","Zea cinsinden diğer ilkbahar tahılları"
"Cumin","Cumin","Cumin","Kreuzkümmel","Cumino","Comino","Kimyon"
"Valerian","Valeriane","Valerian","Baldrian","Valeriana","Valeriana","Kediotu"
"Other pods","Autre jarosse","Other pods","Andere Hülsenfrüchte","Altri baccelli","Otras vainas","Diğer baklalar"
"Plantain psyllium","Plantain psyllium","Plantain psyllium","Wegerich Psyllium","Psillio della piantaggine","Psilio de llantén","Muz psyllium"
"Forage carrot","Carotte fourragere","Forage carrot","Futterkarotte","Carota da foraggio","Zanahoria forrajera","Yemlik havuç"
"Avocado","Avocat","Avocado","Avocado","Avocado","Aguacate","Avokado"
"Nyger","Nyger","Nyger","Nygerie","Tritone","Nyger","Nyger"
"Pistachio","Pistache","Pistachio","Pistazie","Pistacchio","Pistacho","Antep fıstığı"
"Other spring oilseeds Brassica rapa","Autre oleagineux de printemps d'espece Brassica rapa","Other spring oilseeds Brassica rapa","Andere Frühjahrsölsaaten Brassica rapa","Altri semi oleosi primaverili Brassica rapa","Otras oleaginosas de primavera Brassica rapa","Diğer ilkbahar yağlı tohumları Brassica rapa"
"Primrose","Primevere","Primrose","Schlüsselblume","Primula","Prímula","Primrose"
"Other winter oilseeds Brassica rapa","Autre oleagineux d'hiver d'espece Brassica rapa","Other winter oilseeds Brassica rapa","Andere Winterölsaaten Brassica rapa","Altri semi oleosi invernali Brassica rapa","Otras oleaginosas de invierno Brassica rapa","Diğer kışlık yağ tohumları Brassica rapa"
"St John's wort","Millepertuis","St John's wort","Johanniskraut","Erba di San Giovanni","Hipérico","St John's wort"
"Peanut","Arachide","Peanut","Erdnuss","Arachidi","Cacahuete","Fıstık"
"Mallow","Mauve","Mallow","Malve","Malva","Malva","Ebegümeci"
"Burdock","Bardane","Burdock","Klette","Bardana","Bardana","Dulavratotu"
"Daisy","Marguerite","Daisy","Gänseblümchen","Margherita","Margarita","Papatya"
"Caraway","Carvi","Caraway","Kümmel","Carvi","Alcaravea","Kimyon"
"Anise","Anis","Anise","Anis","Anice","Anís","Anason"
"Melilot dehydrate","Melilot deshydrate","Melilot dehydrate","Steinklee dehydrieren","Meliloto disidratato","Meliloto deshidratado","Melilot dehidrat"
"Bugleweed","Bugle rampante","Bugleweed","Vogelmiere","Cimice","Bugula","Bugleweed"
"Daisy","Pequerette","Daisy","Gänseblümchen","Margherita","Margarita","Papatya"
"Speedwell","Veronique","Speedwell","Ehrenpreis","Velocifera","Verónica","Üzüm otu"
"Pensee","Pensee","Pensee","Pensee","Penne","Pensamiento","Pensee"
"Carob","Caroube","Carob","Johannisbrot","Carrubo","Algarrobo","Harnup"
"Other winter oilseed Brassica napus","Autre oleagineux d'hiver d'espece Brassica napus","Other winter oilseed Brassica napus","Andere Winterölsaaten Brassica napus","Altri semi oleosi invernali Brassica napus","Otra oleaginosa de invierno Brassica napus","Diğer kışlık yağ tohumları Brassica napus"
"Other serradelle","Autre serradelle","Other serradelle","Andere Serradelle","Altre serradelle","Otra serradella","Diğer serradelle"
"Hornwort","Cornille","Hornwort","Hornkraut","Hornwort","Ceratofilo","Boynuzotu"
"Other spring cereal of genus Secale","Autre cereale de printemps de genre Secale","Other spring cereal of genus Secale","Anderes Frühjahrsgetreide der Gattung Secale","Altro cereale primaverile del genere Secale","Otro cereal de primavera del género Secale","Secale cinsinin diğer ilkbahar tahılları"
"Dolique","Dolique","Dolique","Dolique","Dolique","Dolique","Dolique"
"Winter soft wheat","Ble tendre d'hiver","Winter soft wheat","Winterweichweizen","Grano tenero invernale","Trigo blando de invierno","Kışlık yumuşak buğday"
"Hard winter wheat","Ble dur d'hiver","Hard winter wheat","Winterhartweizen","Grano duro invernale","Trigo duro de invierno","Sert kışlık buğday"
"Grain maize","Mais grain","Grain maize","Körnermais","Mais da granella","Maíz grano","Tahıl mısır"
"Corn silage","Mais ensilage","Corn silage","Maissilage","Insilato di mais","Maíz forrajero","Mısır silajı"
"Sweet corn","Mais doux","Sweet corn","Zuckermais","Mais dolce","Maíz dulce","Tatlı mısır"
"Winter barley","Orge d'hiver","Winter barley","Wintergerste","Orzo invernale","Cebada de invierno","Kışlık arpa"
"Winter rapeseed","Colza d'hiver","Winter rapeseed","Winterraps","Colza invernale","Colza de invierno","Kışlık kolza tohumu"
"Spring rape","Colza de printemps","Spring rape","Sommerraps","Colza primaverile","Colza de primavera","İlkbahar kolzası"
"Spring barley","Orge de printemps","Spring barley","Sommergerste","Orzo primaverile","Cebada de primavera","İlkbahar arpa"
"Sunflower","Tournesol","Sunflower","Sonnenblume","Girasole","Girasol","Ayçiçeği"
"Wine grapes","Vigne raisins de cuve","Wine grapes","Weintrauben","Uva da vino","Uvas para vino","Şaraplık üzümler"
"Vineyard restructuring","Restructuration du vignoble","Vineyard restructuring","Umstrukturierung von Weinbergen","Ristrutturazione del vigneto","Reestructuración de viñedo","Bağ yeniden yapılandırma"
"Wine grapes not in production","raisins de cuve non en production","Wine grapes not in production","Nicht im Ertrag stehende Keltertrauben","Uva da vino non in produzione","Uvas para vino no en producción","Üretimde olmayan şaraplık üzümler"
"Non-fodder beet and chard","Betterave non fourragere et Bette","Non-fodder beet and chard","Nicht-Futterrüben und Mangold","Barbabietola non da foraggio e bietola da coste","Remolacha y acelga no forrajeras","Yemlik olmayan pancar ve pazı"
"Fodder beet","Betterave fourragere","Fodder beet","Futterrüben","Barbabietole da foraggio","Remolacha forrajera","Yemlik pancar"
